,event_name,weight_class,fighter_1,action,fighter_2,round,time,method
0,UFC Fight Night: Volkan vs. Smith,Light Heavyweight,Anthony Smith,def.,Volkan Oezdemir,3,4:26,Submission (rear-naked choke)
1,UFC Fight Night: Volkan vs. Smith,Catchweight (147 lbs),Michael Johnson,def.,Artem Lobov,3,5:00,"Decision (unanimous) (29-28, 29-28, 30-27)"
2,UFC Fight Night: Volkan vs. Smith,Light Heavyweight,Misha Cirkunov,def.,Patrick Cummins,1,2:40,Submission (arm-triangle choke)
3,UFC Fight Night: Volkan vs. Smith,Bantamweight,Andre Soukhamthath,def.,Jonathan Martinez,3,5:00,"Decision (unanimous) (30-26, 29-28, 29-28)"
4,UFC Fight Night: Volkan vs. Smith,Light Heavyweight,Gian Villante,def.,Ed Herman,3,5:00,"Decision (split) (29-28, 28-29, 29-28)"
5,UFC Fight Night: Volkan vs. Smith,Welterweight,Court McGee,def.,Alex Garcia,3,5:00,"Decision (unanimous) (29-28, 29-28, 30-28)"
6,UFC Fight Night: Volkan vs. Smith,Welterweight,Sean Strickland,def.,Nordine Taleb,2,3:10,TKO (punches)
7,UFC Fight Night: Volkan vs. Smith,Lightweight,Nasrat Haqparast,def.,Thibault Gouti,3,5:00,"Decision (unanimous) (29-27, 29-28, 30-26)"
8,UFC Fight Night: Volkan vs. Smith,Featherweight,Calvin Kattar,def.,Chris Fishgold,1,4:11,TKO (punches)
9,UFC Fight Night: Volkan vs. Smith,Women's Bantamweight,Talita Bernardo,def.,Sarah Moras,3,5:00,"Decision (unanimous) (30-27, 29-28, 29-28)"
10,UFC Fight Night: Volkan vs. Smith,Lightweight,Don Madge,def.,Te'Jovan Edwards,2,0:14,KO (head kick)
11,UFC Fight Night: Volkan vs. Smith,Heavyweight,Arjan Bhullar,def.,Marcelo Golm,3,5:00,"Decision (unanimous) (29-28, 29-28, 29-27)"
12,UFC Fight Night: Volkan vs. Smith,Lightweight,Stevie Ray,def.,Jessin Ayari,3,5:00,"Decision (unanimous) (29-28, 29-28, 30-27)"
13,UFC 229: Khabib vs. McGregor,Lightweight,Khabib Nurmagomedov,def.,Conor McGregor,4,3:03,Submission (neck crank)
14,UFC 229: Khabib vs. McGregor,Lightweight,Tony Ferguson,def.,Anthony Pettis,2,5:00,TKO (corner stoppage)
15,UFC 229: Khabib vs. McGregor,Light Heavyweight,Dominick Reyes,def.,Ovince Saint Preux,3,5:00,"Decision (unanimous) (30-27, 30-27, 30-27)"
16,UFC 229: Khabib vs. McGregor,Heavyweight,Derrick Lewis,def.,Alexander Volkov,3,4:49,KO (punches)
17,UFC 229: Khabib vs. McGregor,Women's Strawweight,Michelle Waterson,def.,Felice Herrig,3,5:00,"Decision (unanimous) (30-26, 29-28, 30-27)"
18,UFC 229: Khabib vs. McGregor,Flyweight,Jussier Formiga,def.,Sergio Pettis,3,5:00,"Decision (unanimous) (30-26, 29-28, 29-28)"
19,UFC 229: Khabib vs. McGregor,Welterweight,Vicente Luque,def.,Jalin Turner,1,3:52,KO (punches)
20,UFC 229: Khabib vs. McGregor,Women's Bantamweight,Aspen Ladd,def.,Tonya Evinger,1,3:26,TKO (punches)
21,UFC 229: Khabib vs. McGregor,Lightweight,Scott Holtzman,def.,Alan Patrick,3,3:42,KO (elbows)
22,UFC 229: Khabib vs. McGregor,Women's Bantamweight,Yana Kunitskaya,def.,Lina Länsberg,3,5:00,"Decision (unanimous) (30-27, 30-27, 30-27)"
23,UFC 229: Khabib vs. McGregor,Lightweight,Nik Lentz,def.,Gray Maynard,2,1:19,TKO (head kick and punches)
24,UFC 229: Khabib vs. McGregor,Welterweight,Tony Martin,def.,Ryan LaFlare,3,1:00,KO (head kick and punches)
25,UFC Fight Night: Santos vs. Anders,Light Heavyweight,Thiago Santos,def.,Eryk Anders,3,5:00,TKO (referee stoppage)
26,UFC Fight Night: Santos vs. Anders,Welterweight,Alex Oliveira,def.,Carlo Pedersoli Jr.,1,0:39,TKO (punches)
27,UFC Fight Night: Santos vs. Anders,Light Heavyweight,Antônio Rogério Nogueira,def.,Sam Alvey,2,1:00,TKO (punches)
28,UFC Fight Night: Santos vs. Anders,Catchweight (141.6 lbs),Andre Ewell,def.,Renan Barão,3,5:00,"Decision (split) (29-28, 29-28, 28-29)"
29,UFC Fight Night: Santos vs. Anders,Women's Strawweight,Randa Markos,vs.,Marina Rodriguez,3,5:00,"Draw (majority) (29-28, 28-28, 28-28)"
30,UFC Fight Night: Santos vs. Anders,Lightweight,Charles Oliveira,def.,Christos Giagos,2,3:22,Submission (rear-naked choke)
31,UFC Fight Night: Santos vs. Anders,Lightweight,Francisco Trinaldo,def.,Evan Dunham,2,4:10,TKO (knee to the body)
32,UFC Fight Night: Santos vs. Anders,Light Heavyweight,Ryan Spann,def.,Luis Henrique,3,5:00,"Decision (unanimous) (30-27, 30-27, 29-28)"
33,UFC Fight Night: Santos vs. Anders,Heavyweight,Augusto Sakai,def.,Chase Sherman,3,4:03,TKO (punches)
34,UFC Fight Night: Santos vs. Anders,Welterweight,Sérgio Moraes,def.,Ben Saunders,2,4:42,Submission (arm-triangle choke)
35,UFC Fight Night: Santos vs. Anders,Women's Flyweight,Mayra Bueno Silva,def.,Gillian Robertson,1,4:55,Submission (armbar)
36,UFC Fight Night: Santos vs. Anders,Middleweight,Thales Leites,def.,Hector Lombard,3,5:00,"Decision (unanimous) (29-28, 29-28, 29-28)"
37,UFC Fight Night: Santos vs. Anders,Welterweight,Elizeu Zaleski dos Santos,def.,Luigi Vendramini,2,1:20,KO (flying knee and punches)
38,UFC Fight Night: Santos vs. Anders,Women's Strawweight,Lívia Renata Souza,def.,Alex Chambers,1,1:21,Submission (guillotine choke)
39,UFC Fight Night: Hunt vs. Oliynyk,Heavyweight,Alexey Oleinik,def.,Mark Hunt,1,4:26,Submission (rear-naked choke)
40,UFC Fight Night: Hunt vs. Oliynyk,Light Heavyweight,Jan Błachowicz,def.,Nikita Krylov,2,2:41,Submission (arm-triangle choke)
41,UFC Fight Night: Hunt vs. Oliynyk,Heavyweight,Shamil Abdurakhimov,def.,Andrei Arlovski,3,5:00,"Decision (unanimous) (29-28, 30-27, 30-27)"
42,UFC Fight Night: Hunt vs. Oliynyk,Welterweight,Alexey Kunchenko,def.,Thiago Alves,3,5:00,"Decision (unanimous) (30-27, 29-28, 29-28)"
43,UFC Fight Night: Hunt vs. Oliynyk,Middleweight,Khalid Murtazaliev,def.,C.B. Dollaway,2,5:00,TKO (referee stoppage)
44,UFC Fight Night: Hunt vs. Oliynyk,Catchweight (137 lbs),Petr Yan,def.,Jin Soo Son,3,5:00,"Decision (unanimous) (30-27, 30-27, 29-28)"
45,UFC Fight Night: Hunt vs. Oliynyk,Lightweight,Rustam Khabilov,def.,Kajan Johnson,3,5:00,"Decision (split) (29-28, 28-29, 29-28)"
46,UFC Fight Night: Hunt vs. Oliynyk,Catchweight (161 lbs),Mairbek Taisumov,def.,Desmond Green,3,5:00,"Decision (unanimous) (30-27, 30-27, 30-27)"
47,UFC Fight Night: Hunt vs. Oliynyk,Light Heavyweight,Magomed Ankalaev,def.,Marcin Prachnio,1,3:09,KO (head kick and punches)
48,UFC Fight Night: Hunt vs. Oliynyk,Middleweight,Jordan Johnson,def.,Adam Yandiev,2,0:42,Submission (arm-triangle choke)
49,UFC Fight Night: Hunt vs. Oliynyk,Welterweight,Ramazan Emeev,def.,Stefan Sekulić,3,5:00,"Decision (unanimous) (29-28, 30-27, 30-26)"
50,UFC Fight Night: Hunt vs. Oliynyk,Bantamweight,Merab Dvalishvili,def.,Terrion Ware,3,5:00,"Decision (unanimous) (30-25, 30-25, 30-25)"
51,UFC 228: Woodley vs. Till,Welterweight,Tyron Woodley,def.,Darren Till,2,4:19,Submission (D'Arce choke)
52,UFC 228: Woodley vs. Till,Women's Strawweight,Jéssica Andrade,def.,Karolina Kowalkiewicz,1,1:58,KO (punch)
53,UFC 228: Woodley vs. Till,Featherweight,Zabit Magomedsharipov,def.,Brandon Davis,2,3:46,Submission (kneebar)
54,UFC 228: Woodley vs. Till,Bantamweight,Jimmie Rivera,def.,John Dodson,3,5:00,"Decision (unanimous) (30-27, 30-27, 29-28)"
55,UFC 228: Woodley vs. Till,Welterweight,Abdul Razak Alhassan,def.,Niko Price,1,0:43,KO (punch)
56,UFC 228: Woodley vs. Till,Women's Strawweight,Tatiana Suarez,def.,Carla Esparza,3,4:33,TKO (punches and elbows)
57,UFC 228: Woodley vs. Till,Bantamweight,Aljamain Sterling,def.,Cody Stamann,2,3:42,Submission (kneebar)
58,UFC 228: Woodley vs. Till,Welterweight,Geoff Neal,def.,Frank Camacho,2,1:23,KO (head kick)
59,UFC 228: Woodley vs. Till,Middleweight,Darren Stewart,def.,Charles Byrd,2,2:17,TKO (elbow and punches)
60,UFC 228: Woodley vs. Till,Welterweight,Diego Sanchez,def.,Craig White,3,5:00,"Decision (unanimous) (30-27, 30-27, 30-27)"
61,UFC 228: Woodley vs. Till,Lightweight,Jim Miller,def.,Alex White,1,1:29,Submission (rear-naked choke)
62,UFC 228: Woodley vs. Till,Women's Bantamweight,Irene Aldana,def.,Lucie Pudilová,3,5:00,"Decision (split) (29-28, 28-29, 29-28)"
63,UFC 228: Woodley vs. Till,Flyweight,Jarred Brooks,def.,Roberto Sanchez,3,5:00,"Decision (split) (29-28, 28-29, 29-28)"
64,UFC Fight Night: Gaethje vs. Vick,Lightweight,Justin Gaethje,def.,James Vick,1,1:27,KO (punch)
65,UFC Fight Night: Gaethje vs. Vick,Featherweight,Michael Johnson,def.,Andre Fili,3,5:00,"Decision (split) (29-28, 27-30, 29-28)"
66,UFC Fight Night: Gaethje vs. Vick,Women's Strawweight,Cortney Casey,def.,Angela Hill,3,5:00,"Decision (split) (30-27, 28-29, 29-28)"
67,UFC Fight Night: Gaethje vs. Vick,Welterweight,Bryan Barberena,def.,Jake Ellenberger,1,2:26,TKO (punches)
68,UFC Fight Night: Gaethje vs. Vick,Flyweight,Deiveson Figueiredo,def.,John Moraga,2,3:08,TKO (punches)
69,UFC Fight Night: Gaethje vs. Vick,Middleweight,Eryk Anders,def.,Tim Williams,3,4:42,KO (head kick)
70,UFC Fight Night: Gaethje vs. Vick,Welterweight,James Krause,def.,Warlley Alves,2,2:28,TKO (knee and punches)
71,UFC Fight Night: Gaethje vs. Vick,Bantamweight,Cory Sandhagen,def.,Iuri Alcântara,2,1:01,TKO (punches)
72,UFC Fight Night: Gaethje vs. Vick,Middleweight,Andrew Sanchez,def.,Markus Perez Echeimberg,3,5:00,"Decision (unanimous) (29-28, 29-28, 29-28)"
73,UFC Fight Night: Gaethje vs. Vick,Welterweight,Mickey Gall,def.,George Sullivan,1,1:09,Submission (rear-naked choke)
74,UFC Fight Night: Gaethje vs. Vick,Women's Flyweight,Joanne Calderwood,def.,Kalindra Faria,1,4:57,Submission (triangle armbar)
75,UFC Fight Night: Gaethje vs. Vick,Lightweight,Drew Dober,def.,Jon Tuck,3,5:00,"Decision (unanimous) (30-27, 30-26, 30-26)"
76,UFC Fight Night: Gaethje vs. Vick,Bantamweight,Rani Yahya,def.,Luke Sanders,1,1:31,Submission (heel hook)
77,UFC 227: Dillashaw vs. Garbrandt 2,Bantamweight,T.J. Dillashaw,def.,Cody Garbrandt,1,4:10,TKO (knee and punches)
78,UFC 227: Dillashaw vs. Garbrandt 2,Flyweight,Henry Cejudo,def.,Demetrious Johnson,5,5:00,"Decision (split) (48-47, 47-48, 48-47)"
79,UFC 227: Dillashaw vs. Garbrandt 2,Featherweight,Renato Moicano,def.,Cub Swanson,1,4:15,Submission (rear-naked choke)
80,UFC 227: Dillashaw vs. Garbrandt 2,Women's Strawweight,JJ Aldrich,def.,Polyana Viana,3,5:00,"Decision (unanimous) (29-28, 29-28, 29-27)"
81,UFC 227: Dillashaw vs. Garbrandt 2,Middleweight,Thiago Santos,def.,Kevin Holland,3,5:00,"Decision (unanimous) (29-27, 29-27, 29-26)"
82,UFC 227: Dillashaw vs. Garbrandt 2,Bantamweight,Pedro Munhoz,def.,Brett Johns,3,5:00,"Decision (unanimous) (30-26, 29-28, 29-27)"
83,UFC 227: Dillashaw vs. Garbrandt 2,Bantamweight,Ricky Simon,def.,Montel Jackson,3,5:00,"Decision (unanimous) (30-27, 30-27, 29-28)"
84,UFC 227: Dillashaw vs. Garbrandt 2,Bantamweight,Ricardo Ramos,def.,Kyung Ho Kang,3,5:00,"Decision (split) (29-28, 28-29, 29-28)"
85,UFC 227: Dillashaw vs. Garbrandt 2,Featherweight,Sheymon Moraes,def.,Matt Sayles,3,5:00,"Decision (unanimous) (29-28, 29-28, 29-28)"
86,UFC 227: Dillashaw vs. Garbrandt 2,Flyweight,Alex Perez,def.,Jose Torres,1,3:36,KO (punches)
87,UFC 227: Dillashaw vs. Garbrandt 2,Women's Strawweight,Zhang Weili,def.,Danielle Taylor,3,5:00,"Decision (unanimous) (29-28, 29-28, 29-28)"
88,UFC 227: Dillashaw vs. Garbrandt 2,Bantamweight,Marlon Vera,def.,Wuliji Buren,2,4:53,KO (punch to the body)
89,UFC on Fox: Alvarez vs. Poirier 2,Lightweight,Dustin Poirier,def.,Eddie Alvarez,2,4:05,TKO (punches and elbow)
90,UFC on Fox: Alvarez vs. Poirier 2,Featherweight,José Aldo,def.,Jeremy Stephens,1,4:19,TKO (punches)
91,UFC on Fox: Alvarez vs. Poirier 2,Women's Strawweight,Joanna Jędrzejczyk,def.,Tecia Torres,3,5:00,"Decision (unanimous) (30-27, 30-27, 30-27)"
92,UFC on Fox: Alvarez vs. Poirier 2,Lightweight,Alexander Hernandez,def.,Olivier Aubin-Mercier,3,5:00,"Decision (unanimous) (30-27, 29-28, 29-28)"
93,UFC on Fox: Alvarez vs. Poirier 2,Welterweight,Jordan Mein,def.,Alex Morono,3,5:00,"Decision (unanimous) (29-28, 29-28, 29-28)"
94,UFC on Fox: Alvarez vs. Poirier 2,Featherweight,Hakeem Dawodu,def.,Austin Arnett,3,5:00,"Decision (unanimous) (30-27, 30-27, 30-27)"
95,UFC on Fox: Alvarez vs. Poirier 2,Lightweight,Islam Makhachev,def.,Kajan Johnson,1,4:43,Submission (armbar)
96,UFC on Fox: Alvarez vs. Poirier 2,Light Heavyweight,Ion Cuțelaba,def.,Gadzhimurad Antigulov,1,4:25,TKO (punches and elbows)
97,UFC on Fox: Alvarez vs. Poirier 2,Lightweight,John Makdessi,def.,Ross Pearson,3,5:00,"Decision (unanimous) (30-26, 29-27, 29-28)"
98,UFC on Fox: Alvarez vs. Poirier 2,Women's Flyweight,Katlyn Chookagian,def.,Alexis Davis,3,5:00,"Decision (unanimous) (29-28, 29-28, 30-27)"
99,UFC on Fox: Alvarez vs. Poirier 2,Flyweight,Dustin Ortiz,def.,Matheus Nicolau,1,3:49,KO (head kick and punches)
100,UFC on Fox: Alvarez vs. Poirier 2,Women's Strawweight,Nina Ansaroff,def.,Randa Markos,3,5:00,"Decision (unanimous) (29-28, 29-28, 29-28)"
101,UFC on Fox: Alvarez vs. Poirier 2,Lightweight,Devin Powell,def.,Álvaro Herrera,1,1:52,TKO (body kicks and punches)
102,UFC Fight Night: Shogun vs. Smith,Light Heavyweight,Anthony Smith,def.,Maurício Rua,1,1:29,KO (elbow and punches)
103,UFC Fight Night: Shogun vs. Smith,Light Heavyweight,Corey Anderson,def.,Glover Teixeira,3,5:00,"Decision (unanimous) (30-27, 30-27, 30-27)"
104,UFC Fight Night: Shogun vs. Smith,Middleweight,Abu Azaitar,def.,Vitor Miranda,3,5:00,"Decision (unanimous) (30-27, 30-27, 29-28)"
105,UFC Fight Night: Shogun vs. Smith,Heavyweight,Marcin Tybura,def.,Stefan Struve,3,5:00,"Decision (unanimous) (30-27, 30-27, 29-28)"
106,UFC Fight Night: Shogun vs. Smith,Welterweight,Danny Roberts,def.,David Zawada,3,5:00,"Decision (split) (27-30, 29-28, 29-28)"
107,UFC Fight Night: Shogun vs. Smith,Lightweight,Nasrat Haqparast,def.,Marc Diakiese,3,5:00,"Decision (unanimous) (30-27, 30-27, 30-26)"
108,UFC Fight Night: Shogun vs. Smith,Lightweight,Damir Hadžović,def.,Nick Hein,3,5:00,"Decision (split) (29-28, 28-29, 29-28)"
109,UFC Fight Night: Shogun vs. Smith,Welterweight,Bartosz Fabiński,def.,Emil Weber Meek,3,5:00,"Decision (unanimous) (30-27, 29-28, 29-28)"
110,UFC Fight Night: Shogun vs. Smith,Featherweight,Nad Narimani,def.,Khalid Taha,3,5:00,"Decision (unanimous) (30-27, 30-27, 30-27)"
111,UFC Fight Night: Shogun vs. Smith,Light Heavyweight,Aleksandar Rakić,def.,Justin Ledet,3,5:00,"Decision (unanimous) (30-25, 30-24, 30-24)"
112,UFC Fight Night: Shogun vs. Smith,Bantamweight,Manny Bermudez,def.,Davey Grant,1,0:59,Technical Submission (triangle choke)
113,UFC Fight Night: Shogun vs. Smith,Light Heavyweight,Darko Stošić,def.,Jeremy Kimball,1,3:13,TKO (elbows and punches)
114,UFC Fight Night: Shogun vs. Smith,Bantamweight,Liu Pingyuan,def.,Damian Stasiak,3,5:00,"Decision (unanimous) (30-27, 29-28, 29-28)"
115,UFC Fight Night: dos Santos vs. Ivanov,Heavyweight,Junior dos Santos,def.,Blagoy Ivanov,5,5:00,"Decision (unanimous) (50-45, 50-45, 50-45)"
116,UFC Fight Night: dos Santos vs. Ivanov,Welterweight,Sage Northcutt,def.,Zak Ottow,2,3:13,KO (punches)
117,UFC Fight Night: dos Santos vs. Ivanov,Featherweight,Rick Glenn,def.,Dennis Bermudez,3,5:00,"Decision (split) (30-27, 28-29, 29-28)"
118,UFC Fight Night: dos Santos vs. Ivanov,Welterweight,Niko Price,def.,Randy Brown,2,1:09,KO (punches)
119,UFC Fight Night: dos Santos vs. Ivanov,Featherweight,Chad Mendes,def.,Myles Jury,1,2:52,TKO (punches)
120,UFC Fight Night: dos Santos vs. Ivanov,Women's Bantamweight,Cat Zingano,def.,Marion Reneau,3,5:00,"Decision (unanimous) (30-27, 30-27, 30-26)"
121,UFC Fight Night: dos Santos vs. Ivanov,Bantamweight,Alejandro Pérez,def.,Eddie Wineland,3,5:00,"Decision (unanimous) (29-28, 29-28, 29-28)"
122,UFC Fight Night: dos Santos vs. Ivanov,Featherweight,Alexander Volkanovski,def.,Darren Elkins,3,5:00,"Decision (unanimous) (30-27, 29-28, 29-28)"
123,UFC Fight Night: dos Santos vs. Ivanov,Flyweight,Said Nurmagomedov,def.,Justin Scoggins,3,5:00,"Decision (split) (29-28, 28-29, 29-28)"
124,UFC Fight Night: dos Santos vs. Ivanov,Featherweight,Raoni Barcelos,def.,Kurt Holobaugh,3,1:29,KO (punches)
